TITULO;FECHA
Director regional de Salud Puno en la cuerda floja;2023-09-06
Director de Redes de Salud asisten a Consejo Regional;2023-09-05
Gestión del gobierno regional  Puno sigue estancada;2023-09-04
Mejora tu descanso con la última tecnología en colchones y almohadas;2023-08-29
Manifestaciones? sepa qué hacer si se cancela o posterga el servicio que contrató;2023-07-20
Las mejores ideas de regalos para agasajar en el día del padre;2023-06-12
Soto pagó por comentarios  a su favor durante programa en medio de comunicación;2023-08-28
Más trabajadores “fantasmas” en obra Mejoramiento de carretera Rosaspata-Huayrapata, obra que ejecuta GRP;2023-08-25
Combustible GLP se agotará pronto, el país se convertiría en importador advirtió el Minem;2023-08-24
Contraloría advierte: “Demanda de inconstitucionalidad contra la Ley 31288 representa amenaza a la lucha contra la corrupción”;2023-08-23
Recorte de canon paralizaría obras, presupuesto se ve limitado en varias provincias de la región Puno;2023-08-22
Declaran de interés nacional la promoción del Siku según Resolución Ministerial 193-2023;2023-08-21
Policía integra banda criminal;2023-09-05
Archivan casos de muertes durante protestas mandos policiales se protegen y afectan investigación;2023-08-16
Martha Moyano: “Muertes en protestas fueron por actos terroristas” Sin embargo presenta informe donde PNP y FFAA, aparecen como responsables;2023-08-03
PNP ejerce represión racista contra andinos   mujer aimara fue agredida durante  manifestación en Lima;2023-07-22
Gobernador de Cuzco pide respetar las protestas: “No toleraré una gota más de sangre”;2023-07-17
Los máximos goleadores de Perú en el 2023;2023-06-05
El legado de los superdeportivos: apostando por la velocidad y el lujo sobre ruedas;2023-06-05
Adrián Fernández resuelve para Alianza Atlético el partido contra Sport Boys;2023-04-09
Pago a pensionistas jubilados de la 19990 iniciará este viernes 7 de octubre;2022-10-05
Puno: Desinterés por casos de violencia a la mujer, entidades competentes suspenden importante reunión para tratar problemática;2022-05-25
Juliaca: Anuncian protestas en la salida a Lampa, señalan que autoridades de Juliaca y Provías no escuchan los pedidos de pobladores;2022-05-25
Padre Josef Schmidpeter es reconocido como “Arequipeño del Bicentenario”;2021-11-11
Proceso de Independencia del Yugo Español, 200 años de historia y el grito de libertad;2021-07-31
Celebración del bicentenario del Perú con una sensación de impunidad e injusticia;2021-07-29
Los protomártires de la independencia del Perú a 200 años de la independencia;2021-07-29
Tras 200 años en la república del Perú, la mujer aún no posee muchos derechos;2021-07-29
Política de Aduviri es desconcertante;2019-02-25
Sociedad Conima “Jayajata Kunimaru”;2021-02-23
Policial ebrio ocasionó accidente de tránsito;2019-03-18
Opiniones divididas por tema electoral;2019-09-27
Educación entrega 400 tablets a estudiantes;2020-11-13
Culturalista confía  en la izquierda;2020-10-08
Comas: El zorro Run Run es capturado y trasladado al parque de Las Leyendas;2021-11-09
Todos los Santos: costumbre ancestral se resiste a ser desplazada por otras culturas;2021-11-01
Arequipa: Rito satánico en exmuseo de arte contemporáneo se hace viral en redes;2021-10-22
Juliaca: Hallazgo de colas de perro genera especulaciones sobre el uso de su carne;2021-10-05
Director de Redes de Salud asisten a Consejo Regional;2023-09-05
Sigma ejecuta obra de saneamiento completamente deficiente;2023-09-05
Expremier Chávez seguirá en prisión;2023-09-06
Gestión del gobierno regional  Puno sigue estancada;2023-09-04
Policía integra banda criminal;2023-09-05
Transportistas anuncian nuevo paro indefinido frente a demandas no atendidas por el gobierno de Dina Boluarte;2023-09-01
Director regional de Salud Puno en la cuerda floja;2023-09-06
Archivan caso de puneños en Lima, usurpación agravada no se adecúa a lo ocurrido en San Marcos;2023-09-01
En operativo hallan a 15 en bar;2021-03-13
Jubilados marchan por aumento de pensiones;2019-07-11
Expremier Chávez seguirá en prisión;2023-09-06
Director regional de Salud Puno en la cuerda floja;2023-09-06
Director de Redes de Salud asisten a Consejo Regional;2023-09-05
Expremier Chávez seguirá en prisión;2023-09-06
Director regional de Salud Puno en la cuerda floja;2023-09-06
